#1 
# Supply and return temperature for DHN grid Hamburg according to TAB (Klopsch2007)
double default(36,3) 
-15		136		52.6
-14		135		52.8
-13		134		53.1
-12		133		53.1
-11		132		53.0
-10		130		53.0
-9		129		52.9
-8		127		52.8
-7		126		52.3
-6		123		51.8
-5		122		51.4
-4		120		50.8
-3		117		50.6
-2		115		50.1
-1		113		49.8
0		110		49.6
1		107		48.9
2		104		48.5
3		101		48.3
4		98		47.9
5		95		47.8
6		93		47.7
7		91		47.7
8		90		47.4
9		90		47.3
10		90		47.2
11		90		47.1
12		90		47.1
13		90		47.0
14		90		46.8
15		90		46.9
16		90		46.9
17		90		46.9
18		90		46.9
19		90		46.9
20		90		46.9
